City,Timestamp,Temperature,Humidity,Description
Bengaluru,2023-12-23 09:00:00,299.96,25,broken clouds
Bengaluru,2023-12-23 12:00:00,296.04,39,broken clouds
Bengaluru,2023-12-23 15:00:00,291.57,63,few clouds
Bengaluru,2023-12-23 18:00:00,289.58,82,few clouds
Bengaluru,2023-12-23 21:00:00,288.24,89,scattered clouds
Bengaluru,2023-12-24 00:00:00,287.4,88,broken clouds
Bengaluru,2023-12-24 03:00:00,291.57,57,few clouds
Bengaluru,2023-12-24 06:00:00,298.35,29,scattered clouds
Bengaluru,2023-12-24 09:00:00,299.95,35,scattered clouds
Bengaluru,2023-12-24 12:00:00,297.06,54,scattered clouds
Bengaluru,2023-12-24 15:00:00,293.42,75,broken clouds
Bengaluru,2023-12-24 18:00:00,291.73,88,scattered clouds
Bengaluru,2023-12-24 21:00:00,290.84,91,few clouds
Bengaluru,2023-12-25 00:00:00,291.02,89,scattered clouds
Bengaluru,2023-12-25 03:00:00,293.81,78,broken clouds
Bengaluru,2023-12-25 06:00:00,298.41,58,broken clouds
Bengaluru,2023-12-25 09:00:00,300.99,43,broken clouds
Bengaluru,2023-12-25 12:00:00,298.08,54,broken clouds
Bengaluru,2023-12-25 15:00:00,293.72,77,scattered clouds
Bengaluru,2023-12-25 18:00:00,291.6,90,scattered clouds
Bengaluru,2023-12-25 21:00:00,290.23,93,few clouds
Bengaluru,2023-12-26 00:00:00,289.26,91,scattered clouds
Bengaluru,2023-12-26 03:00:00,293.01,60,few clouds
Bengaluru,2023-12-26 06:00:00,299.22,26,scattered clouds
Bengaluru,2023-12-26 09:00:00,301.08,22,broken clouds
Bengaluru,2023-12-26 12:00:00,297.65,33,scattered clouds
Hyderabad,2023-12-21 15:00:00,292.38,52,few clouds
Hyderabad,2023-12-21 18:00:00,292.22,46,scattered clouds
Hyderabad,2023-12-21 21:00:00,291.51,41,broken clouds
Hyderabad,2023-12-22 00:00:00,290.48,38,overcast clouds
Hyderabad,2023-12-22 03:00:00,292.91,38,broken clouds
Hyderabad,2023-12-22 06:00:00,298.92,28,broken clouds
Hyderabad,2023-12-22 09:00:00,301.42,25,broken clouds
Hyderabad,2023-12-22 12:00:00,298.18,38,overcast clouds
Hyderabad,2023-12-22 15:00:00,294.72,54,overcast clouds
Hyderabad,2023-12-22 18:00:00,292.65,68,overcast clouds
Hyderabad,2023-12-22 21:00:00,291.76,75,overcast clouds
Hyderabad,2023-12-23 00:00:00,291.03,80,overcast clouds
Hyderabad,2023-12-23 03:00:00,293.5,69,overcast clouds
